,Size of filter(bits),Ideal FPR,Standard Filter Total Creation Time(sec),Average Standard Filter Total Creation Time(sec),Projection FPR for iteration,Average Projection FPR,Projection Filter Total Creation Time(sec),Average Projection Filter Total Creation Time(sec)
60,610,0.17479342790690422,0.001215414999933273,0.003295126000193704,0.21739130434782608,0.1681159420289855,0.13943528599975252,0.2580499089997829
61,620,0.1705483003822923,0.0013249290004750947,0.00274336359998415,0.15942028985507245,0.14782608695652172,0.09778618699965591,0.22396777420017316
62,630,0.16645290968916288,0.0015579420005451539,0.002852794600039488,0.2608695652173913,0.16521739130434782,0.08745336299944029,0.27201863099999174
63,640,0.16250047040961818,0.001147967000179051,0.002081619199816487,0.13043478260869565,0.16231884057971016,0.11258205400008592,0.1601051063997147
64,650,0.15868456465527137,0.001502125000115484,0.002127632800147694,0.17391304347826086,0.15942028985507245,0.09623867999926006,0.20619742699982452
65,660,0.15499911951773654,0.0010859159992833156,0.003595154799768352,0.2463768115942029,0.15362318840579708,0.09879260100024112,0.20479824579997513
66,670,0.15143838600581805,0.0014206609994289465,0.0029966575999424093,0.21739130434782608,0.17971014492753623,0.09009207300005073,0.30307415859988396
67,680,0.14799691937205237,0.001101046999792743,0.0053537444000539836,0.11594202898550725,0.21159420289855074,0.11386332399979437,0.30911563159988875
68,690,0.14466956073598886,0.00109314200017252,0.005724882000140497,0.13043478260869565,0.14202898550724635,0.10339780699996481,0.2829909891999705
69,700,0.14145141991719828,0.0011119580003651208,0.0018994305999513017,0.11594202898550725,0.16521739130434782,0.1467773379999926,0.4852579011998387
70,710,0.13833785939607465,0.00109332100055326,0.0026026380000985228,0.2318840579710145,0.1681159420289855,0.08264418700036913,0.3531001886003651
71,720,0.1230665459327687,0.0049799960006566835,0.003330466199986404,0.2028985507246377,0.16521739130434784,0.1075918050000837,0.4154141818000426
72,730,0.11956550575970318,0.0014042860002518864,0.0032279294004183613,0.13043478260869565,0.12173913043478261,0.13316026000029524,0.39337713480017555
73,740,0.11619256122275572,0.002825790999850142,0.004523012600111542,0.13043478260869565,0.11304347826086955,0.1313702090001243,0.2961938080001346
74,750,0.11294210475326039,0.0019606180003393092,0.0038085862001025817,0.14492753623188406,0.13043478260869565,0.15478917699965677,0.2802999607998572
75,760,0.10980880713380092,0.0050895530002890155,0.002634967399899324,0.11594202898550725,0.12753623188405797,0.5395634649994463,0.4612538233999658
76,770,0.10678760262875317,0.0038921229997868068,0.003288649199566862,0.08695652173913043,0.08405797101449276,0.48927321700011817,0.460643001400058
77,780,0.10387367490819689,0.002734833999966213,0.0033379948001311275,0.13043478260869565,0.13043478260869565,0.46003974599989306,0.37800610679987584
78,790,0.10106244373017303,0.015858278999985487,0.008494685999721696,0.11594202898550725,0.10724637681159421,0.44163121699966723,0.4555335314000331
79,800,0.0983495523463221,0.004317955999795231,0.004854378399977577,0.18840579710144928,0.13043478260869565,0.19633827199959342,0.3881074331999116
80,810,0.09573085559606237,0.0014610440002797986,0.0065772888003266415,0.14492753623188406,0.09855072463768115,0.11221786399983102,0.3108263458001602
81,820,0.09320240865519389,0.0014782320004087524,0.0036532434001856017,0.14492753623188406,0.14202898550724635,0.6058925669995006,0.36732808880005907
82,830,0.09076045640574194,0.004169787999671826,0.0034050903999741423,0.10144927536231885,0.10724637681159419,0.47281488699991314,0.3768648121998922
83,840,0.0884014233946179,0.002815810000356578,0.009775992199865868,0.08695652173913043,0.12753623188405797,0.1821710839994921,0.4124659807996068
84,850,0.08612190435004034,0.003910978000021714,0.004913911800031201,0.10144927536231885,0.11014492753623188,0.2055095519999668,0.3350325186000191
85,860,0.08391865522546178,0.0020362260002002586,0.003564762200221594,0.11594202898550725,0.08405797101449275,0.1948443720002615,0.4722665689998394
86,870,0.08178858474254572,0.0014411599995582947,0.03756535499996971,0.13043478260869565,0.10434782608695652,0.24218356700021104,0.3861281150002469
87,880,0.0797287464054098,0.0018278130000908277,0.003444935400148097,0.13043478260869565,0.10724637681159419,0.23426187899985962,0.33783225800016226
88,890,0.07773633095996352,0.004025094999633438,0.009758924600100726,0.043478260869565216,0.10144927536231885,0.29617683499964187,0.31991107639987604
89,900,0.07580865927336031,0.0064841970006455085,0.003267544800110045,0.043478260869565216,0.09275362318840578,0.15218528199966386,0.2920746373998554
90,910,0.07394317560998474,0.004070822999892698,0.0031341448000603124,0.10144927536231885,0.08695652173913043,0.1395574160005708,0.28104946879993803
91,920,0.07213744128099586,0.0019413919999351492,0.0031480576000831205,0.14492753623188406,0.08115942028985508,0.1108612930001982,0.3480091910001647
92,930,0.0703891286466087,0.00199401499958185,0.0028175886000099126,0.08695652173913043,0.06956521739130435,0.2693187240001862,0.38102115260026037
93,940,0.06869601545062934,0.002636926999912248,0.015183257999888155,0.10144927536231885,0.06956521739130435,0.17508681300023454,0.322818112800087
94,950,0.06705597946812439,0.0028810350004278007,0.00415120060024492,0.08695652173913043,0.07246376811594202,0.24954198599971278,0.3358956729998681
